@relation RSSI_Y_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedy numeric
@attribute y numeric

@data
35,25,38,29,6295.413985,6000
23,27,36,38,6789.148097,6940
42,22,46,39,6118.177466,5840
41,11,47,32,6030.033054,5840
38,21,33,41,6342.619337,6100
29,33,39,48,6934.887083,6780
24,24,28,41,6894.11598,6190
31,32,38,42,6812.281148,6940
20,34,37,39,7010.228426,6940
42,17,39,31,6012.722702,5740
39,9,46,27,6035.520766,5840
34,26,44,47,6488.119431,6300
22,26,25,46,7041.629703,7110
32,9,35,46,6348.466941,7110
29,12,31,35,6367.335036,5930
37,20,32,26,6154.073663,5840
46,25,35,23,5929.888406,5790
28,33,30,46,7041.538028,6940
45,15,39,22,5901.27124,5700
41,10,42,31,6013.523742,5740
29,25,38,34,6504.505806,6000
38,19,33,29,6141.600895,5930
45,14,26,31,5948.166998,5700
33,29,34,47,6833.074702,6940
48,19,37,31,5910.885552,5700
31,17,39,44,6401.067802,6580
33,33,35,53,6987.737527,6780
35,19,42,36,6280.816633,6100
31,22,34,40,6532.385117,6100
29,25,33,49,6834.778118,6420
42,20,42,37,6087.13583,5790
34,23,35,53,6670.075629,6780
33,33,30,32,6811.819838,7320
35,27,38,43,6550.458769,6420
31,26,37,38,6564.262364,6940
36,21,43,38,6287.704685,6100
51,14,25,34,5897.127956,5700
35,28,40,41,6508.731367,6420
33,33,31,54,7034.987153,6580
29,25,42,40,6505.820275,6190
27,26,31,51,6957.476986,6420
35,17,40,38,6288.063463,6580
38,18,42,31,6140.907915,6190
23,28,33,45,6964.347801,7110
42,22,46,35,6075.276573,5790
42,16,38,28,5984.000755,5700
47,15,40,19,5879.534595,5700
40,24,39,37,6208.324141,6000
40,16,33,29,6050.035605,5740
39,16,42,41,6199.986113,6190
44,28,45,45,5983.296105,6100
31,27,44,41,6319.901352,6190
38,19,35,39,6081.383103,6100
19,33,25,33,7309.90322,7110
32,33,31,42,7027.410114,6580
32,26,29,37,6628.873125,6940
28,35,30,47,7238.53715,6940
39,10,41,35,5836.674433,5840
22,32,36,44,7102.745278,6940
31,26,29,49,6722.182819,6780
29,18,43,38,6178.597172,5930
47,16,33,33,5769.645846,5740
40,19,34,33,5880.561942,5930
36,27,38,41,6300.529254,6420
44,22,45,23,5755.905108,5790
32,27,35,48,6627.130315,6780
38,21,32,35,6045.472509,5840
34,21,35,40,6270.799468,6300
37,21,43,29,5804.045907,6100
33,26,37,47,6522.709828,6420
35,32,40,56,6684.099285,6780
46,15,38,32,5742.486933,5700
36,27,45,11,6115.178609,6300
48,18,42,26,5718.902911,5740
38,24,37,52,6451.316515,6420
51,19,39,20,5732.039279,5700
36,30,40,52,6574.578097,6780
47,13,45,32,5716.662467,5790
22,28,36,38,6883.589066,7110
30,27,37,49,6628.638574,6420
46,16,39,34,5754.573296,5700
32,23,31,45,6547.317149,6780
27,32,35,44,7019.369123,6940
38,26,37,35,6072.687024,5790
30,27,34,42,6665.959611,6100
43,22,46,39,5815.295696,6100
33,42,32,46,7277.104033,7110
44,17,31,29,5786.109067,5740
24,20,43,32,6157.765412,6190
47,12,35,35,5771.807677,5790
29,30,33,45,6906.244993,6780
33,22,33,42,6416.020565,6100
45,16,40,33,5749.702658,5700
34,21,40,34,5974.674469,6000
27,30,28,45,7077.369372,6580
47,18,39,29,5732.649632,5700
29,33,32,43,7094.08383,7110
30,27,41,44,6503.451959,6420
46,15,43,30,5719.208744,5740
30,35,31,44,7179.670833,6940
24,43,32,44,7372.852909,7320
44,15,24,18,5793.200255,5700
35,22,37,41,6240.185863,6300
23,31,25,50,7203.002304,7110
25,27,36,49,6727.770408,6300
29,22,32,35,6408.545268,5930
22,32,35,47,7104.004258,7110
42,26,41,25,5903.956125,5790
33,26,44,46,6365.471889,6300
30,31,33,41,6918.438516,6780
50,20,37,27,5742.055186,5700
27,22,37,37,6393.305055,6000
32,19,43,38,6086.334601,5930
43,16,26,30,5846.053289,5700
35,21,38,41,6206.690799,6000
22,26,35,45,6774.06662,7110
44,12,43,26,5710.97333,5790
18,24,35,48,6711.473209,6940
51,19,39,31,5726.666161,5700
20,40,32,49,7386.305356,7320
35,17,44,40,6040.600705,6190
31,18,43,41,6220.917803,6190
28,27,25,47,6937.506442,7110
31,18,38,59,6505.143963,6580
49,19,37,29,5737.926615,5700
26,26,37,47,6657.887145,6300
39,19,45,34,5796.196696,6100
40,21,46,37,5825.106146,5840
21,31,37,38,7050.813988,6940
40,24,40,29,5861.135168,6000
30,30,21,42,7178.835088,7320
42,24,42,24,5828.775834,5790
40,19,38,35,5866.216885,5700
35,27,34,43,6511.723969,6100
43,26,45,44,5959.997708,6100
30,26,30,38,6689.805964,6940
25,26,44,40,6474.569745,6300
39,21,43,37,5877.044293,5790
49,21,40,29,5741.805649,5700
20,25,36,44,6742.411546,6940
45,18,39,20,5773.663493,5700
33,24,40,37,6116.32337,6000
46,8,41,36,5774.492705,5740
32,33,25,44,7041.935586,7110
28,33,38,53,6774.02455,6580
27,29,39,47,6613.47803,6780
30,25,32,38,6464.374769,7110
39,13,48,34,5779.421316,5930
38,25,33,49,6423.618943,6420
36,12,45,35,5848.200231,5930
40,6,44,25,5731.174708,5740
28,21,36,42,6385.496721,6300
41,19,32,35,5924.474071,5930
42,21,30,35,5965.060787,5740
42,9,37,27,5745.829134,5740
43,13,45,36,5781.83146,5790
20,29,35,45,6804.024234,6940
30,28,42,42,6405.25223,6420
27,26,30,55,6586.275668,6580
40,26,46,36,5883.86122,5790
39,26,40,29,5957.435082,6000
31,22,44,37,6061.601687,6300
49,12,35,38,5802.159001,5790
31,35,30,47,7045.96334,6940
27,20,42,42,6317.298223,5930
30,10,35,44,6335.522399,7110
45,18,42,31,5760.39288,5740
46,20,37,30,5791.718685,5700
24,16,43,32,6057.193606,6190
34,21,39,47,6333.524741,6420
22,26,31,36,6733.839564,6940
20,34,24,39,7235.892477,7110
36,22,39,29,5889.660595,6000
27,23,41,37,6252.536673,6000
36,14,34,32,5892.124842,5930
36,26,33,42,6379.855491,6300
40,23,40,37,5925.075005,5840
29,35,31,48,7051.680841,7110
37,19,35,30,5875.722617,5930
29,34,37,39,6819.762991,6940
50,19,41,30,5752.02224,5700
17,25,38,45,6598.682935,6940
47,15,33,38,5846.065469,5740
42,22,38,32,5848.093786,5790
41,12,42,44,6037.051818,5930
29,37,31,35,6977.416733,7320
31,24,30,48,6524.3101,6420
36,28,33,30,6252.212065,6100
35,30,35,48,6598.299934,6780
29,35,31,45,7060.772541,6940
30,26,36,46,6507.444265,7110
40,26,40,37,5984.207795,6000
27,22,37,48,6447.555836,6300
48,26,37,24,5948.429589,5790
38,26,39,36,6032.208569,6000
38,15,43,42,6029.080441,5930
34,13,33,43,6280.251335,5930
30,24,29,30,6332.856955,6190
30,25,31,45,6553.207575,6780
28,24,43,40,6285.844997,6300
32,11,44,35,5933.952792,5930
32,20,44,37,6016.422322,5930
24,25,36,47,6549.751975,6300
32,25,36,47,6456.133064,6300
40,27,45,35,5911.16824,5790
24,35,24,46,7215.154353,7110
29,24,37,44,6438.460643,6940
30,28,38,51,6546.829954,6420
31,19,39,43,6292.424401,6580
28,10,34,38,6256.44235,7110
26,26,37,38,6492.172983,6300
28,24,38,40,6383.118532,6940
46,24,35,45,6080.200098,5930
28,29,21,39,7011.766227,7320
31,30,41,49,6555.078182,6420
39,21,34,34,5945.657403,6100
23,18,43,40,6321.59402,6190
33,25,38,36,6161.967629,6000
34,17,31,44,6334.742715,6580
36,29,38,53,6507.775068,6420
35,27,40,55,6456.3932,6580
36,27,30,43,6513.015525,6580
40,22,39,42,6059.476641,6000
34,26,42,32,6009.101415,6190
47,9,44,35,5750.419193,5740
47,12,34,36,5801.665204,5790
41,10,45,24,5729.557016,5790
39,11,45,36,5824.26414,5790
45,7,33,28,5746.155136,5740
29,26,25,45,6725.054474,7110
28,26,30,41,6541.651359,6190
32,21,40,35,5956.987304,6000
44,16,39,34,5684.894773,5740
39,12,43,33,5706.798257,5790
31,21,44,39,6052.675666,6100
19,31,37,41,6886.681103,6940
38,12,44,24,5633.567344,5790
32,9,35,50,6254.477611,6780
17,36,36,46,7094.605123,6940
34,21,42,30,5774.890107,5930
33,26,35,51,6329.777254,6780
32,24,32,41,6287.93497,6190
37,27,29,46,6372.663884,6420
23,33,26,37,7080.44199,7110
36,21,37,32,5822.544259,5790
46,18,43,32,5645.978072,5740
28,17,31,55,6295.35001,6580
29,34,38,41,6776.326931,6580
39,25,34,39,6021.568742,6000
39,10,46,28,5644.723817,5840
44,18,28,20,5724.452839,5700
35,25,32,48,6308.192579,6420
35,26,35,41,6207.047466,6300
39,26,44,31,5768.915314,5790
33,32,32,50,6645.622078,6780
29,29,34,30,6495.731187,6100
33,20,32,35,6029.772151,5930
33,26,39,48,6280.864497,6780
39,22,33,38,5949.507559,5840
28,28,32,48,6539.735557,6580
37,19,43,30,5705.134107,5930
38,11,43,28,5657.408837,5930
29,21,42,42,6186.044235,6100
33,12,43,30,5738.355361,5930
34,29,34,44,6424.603309,6780
36,19,44,29,5700.238048,5930
24,25,43,39,6297.627625,6190
36,26,42,33,5876.698947,5790
36,19,45,46,6113.597945,6100
34,19,43,29,5731.906248,5930
39,23,32,44,6136.381916,6190
31,20,41,45,6205.310764,6100
22,25,25,48,6650.12951,7110
33,18,42,39,6007.170749,6190
34,28,41,48,6280.013336,6580
34,24,32,49,6306.348012,6420
31,23,29,45,6351.334987,6940
45,9,43,34,5660.154719,5740
31,21,35,39,6157.85515,6300
40,18,43,36,5753.489189,5930
41,19,41,34,5718.04243,5840
24,26,36,45,6458.230676,6300
38,16,32,30,5743.397998,6190
49,16,39,20,5622.841686,5700
33,21,42,42,6105.244358,6100
30,33,34,34,6721.287942,7110
37,13,44,29,5673.294249,5930
48,14,26,35,5704.677231,5700
35,25,30,39,6251.902882,6190
31,34,38,44,6709.679535,6780
23,33,31,42,7022.710539,6940
21,38,24,38,7159.765423,7320
30,28,38,43,6386.766368,6940
45,15,25,21,5677.041968,5700
31,27,38,39,6277.373074,6420
27,32,30,51,6813.650658,6580
39,16,40,38,5839.596143,6000
39,18,23,21,5861.779389,5700
40,21,43,42,5919.920884,5930
43,20,45,35,5691.187553,5790
20,22,31,45,6441.723541,6940
22,34,36,36,6984.893742,7110
42,23,45,27,5670.729461,5790
36,22,44,26,5712.076469,5790
34,24,39,55,6285.913836,6420
37,18,39,33,5772.624607,5740
38,17,39,32,5733.117804,6000
32,25,41,35,6021.66694,6000
35,23,34,37,6050.825184,6100
32,31,38,51,6455.084162,6780
43,15,38,20,5631.642926,5700
34,27,36,48,6320.962451,6300
31,22,42,35,5971.961926,6000
22,29,30,44,6843.053503,6940
30,26,25,44,6604.917807,7110
45,18,38,20,5646.543443,5700
32,25,28,30,6320.516574,6190
28,40,31,46,7125.771927,7320
41,22,40,26,5698.388897,5840
35,26,43,27,5852.485846,6190
32,28,33,39,6613.897725,6780
40,20,32,32,5959.308892,5930
21,33,25,45,7118.528824,7110
37,23,33,44,6307.523728,6780
33,26,32,48,6715.535323,7110
33,26,38,35,6245.892645,6000
33,27,30,42,6701.666609,6420
47,19,40,24,5740.484678,5740
38,11,46,38,5981.422008,5840
39,20,45,37,5977.681259,6100
45,18,42,26,5784.094884,5740
35,20,42,35,6042.16462,5930
29,29,32,46,6906.250202,7110
41,12,42,39,5929.669346,5930
27,21,36,25,6161.972428,5840
28,16,32,46,6367.798828,6580
36,29,38,46,6495.171129,6420
31,35,37,44,6902.821208,6940
27,29,30,55,7058.4133,6580
41,22,41,37,5955.853656,5840
27,19,35,39,6305.599958,5840
35,26,36,40,6329.872198,6300
24,23,31,41,6742.878003,6190
47,21,36,25,5747.953184,5790
34,7,33,40,6035.488727,7320
32,33,38,44,6776.763252,6780
34,27,34,40,6478.408348,6300
42,25,38,27,5879.644629,5790
40,25,39,30,5952.872755,6000
40,24,36,36,6036.949389,6000
34,28,29,41,6721.924402,6780
42,18,30,32,5896.052767,5840
32,25,38,40,6326.975119,6300
32,19,46,42,6102.322843,6100
36,20,36,40,6115.774213,6300
32,26,39,55,6645.905056,6580
32,25,44,38,6170.088365,6190
35,25,41,48,6299.251294,6420
31,35,34,43,6949.662223,6940
31,31,35,52,6937.967561,6780
51,22,40,31,5722.372669,5700
32,24,37,37,6265.17562,6000
29,33,25,37,7008.399226,7110
39,23,30,37,6173.442254,5840
32,21,34,31,6152.235274,6100
23,22,38,40,6449.967318,6300
34,26,33,52,6731.978032,6780
30,34,39,48,6905.025129,6580
40,10,33,34,5902.391695,5840
43,14,38,35,5863.239286,5700
47,11,36,32,5763.723565,5790
41,20,42,33,5911.57307,5790
28,34,31,37,6966.906216,7110
21,43,31,42,7130.151018,7320
46,18,44,31,5797.308061,5930
33,32,39,49,6769.184779,6780
37,12,32,37,5994.147192,5930
35,26,38,41,6291.485607,6300
45,18,43,43,5891.10262,5930
35,23,41,47,6219.353152,6420
41,19,38,39,5959.044578,5840
29,27,32,55,6965.134782,6420
24,28,39,47,6805.42584,6300
40,20,43,32,5925.262901,5790
30,36,31,42,7017.160316,6940
19,32,26,32,7073.240249,7110
31,34,31,44,6985.334552,6940
32,30,28,33,6741.232509,7320
33,10,37,40,6055.595457,5840
43,14,25,30,5838.372229,5700
47,16,39,32,5774.723823,5700
35,20,35,46,6244.462322,6100
38,21,35,36,6047.317956,5790
42,9,32,32,5845.543506,5840
38,19,29,39,6136.519521,6190
29,25,30,50,6883.349872,6420
26,35,34,40,7005.639978,6940
27,33,31,37,6962.5437,7320
21,25,35,44,6828.980625,6940
50,16,27,21,5685.755014,5700
40,19,39,37,5961.316207,5840
33,17,38,37,6083.675462,6000
34,27,38,48,6514.561698,6780
27,21,47,35,6130.447022,5840
39,21,44,31,5942.258284,5930
39,18,29,31,5970.568385,6190
43,8,33,30,5814.347096,5740
23,21,44,40,6254.924962,6300
34,17,44,39,6056.619527,6190
39,23,39,26,5920.924921,6000
49,20,21,31,5847.834654,5700
38,24,44,39,5935.406555,6190
47,20,45,24,5688.1211,5790
43,26,45,36,5776.435031,5790
30,31,38,48,6705.993217,6940
28,27,37,44,6623.05567,6940
38,22,40,35,5866.40034,5840
31,35,36,38,6871.632412,6940
29,25,29,40,6674.406468,6190
42,18,40,35,5771.046221,5740
51,18,39,25,5685.987984,5740
33,24,41,31,5907.332822,6000
35,26,43,39,6077.98692,6190
25,20,36,41,6533.836671,6300
44,15,39,31,5709.685237,5700
20,41,22,46,7483.652077,7320
36,27,40,42,6256.034882,6420
31,39,32,16,6570.873849,7320
19,25,38,44,6692.934955,6940
45,19,44,39,5767.294298,5930
34,22,43,40,6107.675141,6300
41,26,44,28,5769.827696,6100
29,26,39,46,6578.50691,6420
35,16,30,40,6298.196609,6190
33,27,37,40,6381.250219,6300
30,29,42,50,6613.699784,6420
37,20,34,24,5803.796801,5790
46,14,39,25,5683.564944,5740
36,16,30,55,6607.455884,6580
47,26,43,38,5768.116644,5790
31,27,36,42,6536.492075,7110
28,34,33,38,7049.608566,7110
36,25,31,42,6447.552722,6940
34,26,44,39,6090.49406,6300
27,36,34,45,7150.347852,6940
34,28,32,48,6658.529761,6780
32,25,43,41,6259.299757,6190
40,21,33,34,5895.067829,5840
39,25,45,26,5761.296594,5790
40,21,46,36,5776.319092,5840
37,17,24,19,5892.562774,5700
35,26,39,50,6540.050908,6420
24,22,44,41,6458.787735,6300
40,21,39,37,5878.179884,6000
32,26,40,53,6606.507646,6780
32,25,41,48,6523.13599,6420
30,27,45,47,6506.438249,6100
38,26,41,38,5985.566863,6190
42,28,42,43,6038.688247,6100
38,20,44,37,5847.918718,6100
25,27,44,31,6182.249597,6190
27,37,32,45,7249.368981,7320
35,26,42,32,5902.882463,6190
22,25,38,43,6655.159131,6940
32,19,34,41,6382.390142,6100
30,31,37,49,6724.9927,6780
29,25,35,50,6640.314622,6780
33,35,35,44,6907.70953,6940
20,27,35,39,6820.154304,7110
38,27,35,47,6479.519941,6100
47,15,42,35,5708.997247,5740
33,34,39,47,6730.667818,6580
33,18,39,47,6462.485668,6580
29,27,45,31,6006.174396,6100
21,24,35,44,6687.282268,6940
39,20,33,36,5967.888511,5840
51,15,37,30,5686.195871,5700
21,35,33,46,7211.314179,7110
31,27,43,37,6172.384097,6300
37,23,35,46,6426.287432,6300
45,17,33,29,5724.209201,5740
31,25,31,52,6659.923453,6780
22,34,36,39,7134.990252,6940
37,14,43,28,5713.515859,5930
24,32,37,46,6886.988893,6940
43,15,26,31,5805.26804,5700
32,28,35,52,6659.619553,6780
41,22,41,37,5836.448024,5840
24,26,36,43,6680.664261,6300
41,21,45,36,5771.252056,5840
32,30,36,49,6681.283696,6780
29,25,31,55,6668.650729,6580
28,33,37,42,6871.176384,6580
37,22,46,34,5791.644153,5840
28,20,44,32,5951.44202,5840
29,27,34,46,6671.787666,6300
32,27,43,46,6465.104876,6100
29,33,34,54,6829.392204,6780
39,26,37,40,6118.362261,6000
32,23,33,30,6007.132264,6100
23,26,37,42,6482.981695,6300
30,29,31,39,6595.545462,6580
40,20,44,34,5709.585864,5930
36,26,30,31,6124.290309,6190
33,23,44,45,6185.027266,6300
50,14,39,34,5642.893372,5700
32,34,32,35,6746.007455,6580
46,27,38,37,5785.456635,5790
31,32,38,45,6526.498167,6940
31,35,31,37,6899.923403,7320
24,17,41,40,6237.30282,6190
47,15,26,30,5682.439268,5700
25,16,31,48,6393.036513,6580
41,28,42,44,6019.533827,6100
30,29,39,47,6428.227335,6420
32,32,38,44,6494.608398,6780
28,21,32,32,6129.813159,5840
34,18,30,55,6390.724695,6580
44,11,39,33,5661.023338,5740
29,28,39,50,6433.288201,6420
31,35,31,40,6929.4139,7110
39,17,30,39,5960.171246,6190
25,26,34,49,6491.32666,6300
35,30,31,43,6505.253205,6780
39,21,39,39,5880.64257,6000
46,12,37,31,5645.63327,5790
31,36,30,43,7014.97637,6940
24,26,43,45,6393.096741,6190
34,25,39,35,5966.925767,6000
35,27,41,42,6136.985387,6420
30,29,35,42,6483.799204,6780
31,33,39,44,6544.643025,6780
44,10,31,27,5645.489865,5840
45,17,38,21,5646.462231,5700
35,26,33,45,6330.782984,6780
44,12,42,34,5661.792809,5790
43,19,38,24,5665.759423,5700
43,18,42,23,5643.384213,5740
34,27,37,41,6221.348147,6580
49,18,38,31,5645.615044,5700
38,12,43,33,5694.928576,5790
32,35,37,46,6688.355425,6940
22,34,34,37,7038.980976,7110
39,20,43,32,5703.507329,5930
49,15,25,21,5676.278537,5700
27,35,30,48,6996.7941,6580
28,34,25,45,7096.767785,7110
32,16,44,39,5960.360216,6190
41,26,35,42,6045.405945,6000
46,18,33,30,5674.586017,5740
42,19,26,30,5791.933454,5700
33,15,34,42,6152.23302,7320
33,29,40,51,6397.193669,6580
34,25,32,38,6206.073626,6190
49,17,38,21,5637.548927,5700
37,20,44,43,5991.056604,5930
31,29,39,43,6366.368493,6580
32,23,43,40,6068.072537,6190
37,25,31,42,6227.619937,6190
38,23,43,42,5966.527468,6190
34,22,37,42,6152.55712,6300
41,24,46,37,5749.503,5840
28,26,31,37,6478.196451,7110
32,24,39,32,5933.518443,6000
27,41,29,13,6632.055548,7320
34,26,38,43,6227.405247,6580
33,34,30,47,6819.625808,6580
31,27,31,49,6488.031493,6420
29,22,35,48,6380.208307,6300
35,26,39,49,6317.520659,6580
41,12,38,36,5731.369773,5840
31,25,38,37,6135.925943,6000
39,25,44,31,5735.421448,5790
43,26,45,32,5704.052799,5790
35,26,37,52,6372.688975,6420
32,22,38,52,6368.756204,6420
36,22,44,39,5901.443434,6300
35,26,39,36,5986.878245,6300
46,12,43,27,5625.747515,5930
34,26,40,49,6323.939351,6420
25,27,37,39,6460.816417,6300
42,9,43,34,5666.886783,5740
37,12,33,45,6141.417118,5930
22,25,35,39,6504.408116,6300
33,20,41,25,5727.686015,6000
33,24,31,41,6296.343199,6190
31,35,38,44,6691.625826,6940
37,21,42,44,6058.688359,6100
36,26,40,50,6402.153129,6420
31,23,39,48,6417.277868,6420
21,33,29,46,7115.667471,7320
38,20,40,34,5870.6724,5840
29,34,35,42,6918.675862,6580
