@relation RSSI_X_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedx numeric
@attribute x numeric

@data
38,10,45,37,23465.567503,18440
35,21,44,47,33356.318337,38341
43,22,45,24,17499.060347,14452
24,25,43,31,35530.642385,34353
42,20,42,33,19486.548558,30378
32,26,41,30,31541.312106,26403
35,16,39,43,30554.992332,46329
39,27,44,42,30607.827043,34353
19,45,21,38,56879.078852,62306
38,20,44,27,23145.217807,22364
37,33,40,49,46386.87554,50317
40,22,46,36,24109.593958,18440
23,33,36,31,49689.820479,58293
32,25,37,44,43857.645543,54279
37,25,40,51,40975.449309,50317
35,22,45,40,29674.427215,38341
28,21,35,43,45142.183906,22364
41,19,34,42,24780.507104,30378
34,20,42,36,28936.508597,26403
47,20,38,25,7554.81236,14452
30,18,31,47,46834.981554,46329
36,19,41,43,30499.629534,22364
30,17,43,40,31211.28955,34353
44,22,34,31,13719.453998,22364
31,32,30,51,54125.837754,50317
23,30,35,44,53904.985862,58293
46,10,39,35,10054.881722,10477
33,27,35,51,50021.567157,50317
30,19,44,30,28052.92358,34353
35,18,28,41,37649.44132,34353
34,23,44,32,28066.479007,30378
41,12,41,25,17029.393835,14452
31,25,43,31,30966.453175,34353
32,31,39,51,50931.531711,50317
38,19,32,27,20925.253258,18440
40,25,38,35,25501.037439,26403
35,24,41,46,37659.529459,30378
31,20,45,40,31148.101108,30378
34,26,35,42,42699.8345,38341
42,16,28,31,13582.466377,6489
37,19,42,34,25372.87127,22364
32,32,35,42,49346.759798,58293
47,8,39,31,7518.385972,10477
27,21,27,32,45259.526593,18440
37,22,42,31,25451.553439,26403
34,26,35,41,41942.381105,38341
39,12,42,27,20406.798581,22364
33,25,30,54,51753.887064,50317
30,29,34,44,50593.748775,54279
33,42,25,38,51665.424106,62306
35,21,41,41,31716.714352,30378
45,19,40,32,13236.135029,6489
33,24,36,37,37362.239252,18440
31,27,25,51,53126.570393,58293
37,25,36,41,35976.051312,38341
32,16,40,45,33899.108789,46329
28,27,38,39,44757.731502,46329
35,20,32,38,34612.799538,22364
35,33,25,37,46454.333802,58293
39,22,42,28,22475.002819,30378
29,33,37,47,52859.684041,58293
38,27,43,32,26808.230188,34353
46,8,33,31,6062.314058,10477
23,13,31,29,35235.389197,62306
34,26,43,39,37221.223444,34353
30,23,38,51,47276.726886,42316
32,26,37,41,43337.272502,38341
40,22,45,22,20921.311769,14452
42,19,43,30,19770.203539,22364
36,20,43,43,33854.381144,22364
37,25,37,52,45833.72755,42316
34,25,40,38,37262.294135,26403
46,21,43,39,18195.276796,22364
39,16,41,37,26669.555696,26403
34,24,37,41,39635.88453,26403
46,17,44,31,14796.673343,10477
33,26,44,39,37396.660283,38341
46,18,42,34,15557.760776,6489
23,23,44,44,42511.939179,38341
30,34,33,51,57306.01282,58293
38,22,41,34,29310.93492,22364
19,44,25,46,58970.382196,62306
40,12,33,28,18341.025878,22364
42,17,39,29,18157.114772,10477
34,33,38,49,53487.420112,50317
45,19,40,30,15522.462633,6489
32,17,32,41,37461.343053,34353
35,26,35,45,45119.222595,58293
30,31,37,43,51407.417207,54279
37,26,40,53,45621.017707,42316
31,27,30,38,48183.571523,34353
45,17,42,35,16699.367355,10477
32,21,32,28,34064.877252,18440
31,21,35,26,33477.967898,26403
35,26,45,45,38673.04822,34353
23,27,24,47,57451.526877,58293
34,17,37,51,38923.644269,46329
29,26,37,38,43415.239505,54279
37,24,38,40,35591.996562,26403
35,24,41,40,36325.814384,34353
38,24,41,30,28353.222073,34353
37,28,32,41,44253.14369,42316
28,18,42,30,33788.312583,34353
35,25,38,29,32602.065387,26403
23,27,36,38,48938.904236,54279
42,22,46,39,25643.063591,18440
41,11,47,32,20531.160462,18440
38,21,33,41,34054.241988,30378
29,33,39,48,54679.724624,50317
24,24,28,41,52351.034507,34353
31,32,38,42,50618.622994,54279
20,34,37,39,55736.922795,54279
42,17,39,31,18950.989824,10477
39,9,46,27,20992.998275,18440
34,26,44,47,41078.76193,38341
22,26,25,46,56954.071159,58293
32,9,35,46,33956.881502,58293
29,12,31,35,34306.23824,22364
37,20,32,26,25615.945494,18440
46,25,35,23,14332.32122,14452
28,33,30,46,57065.645851,54279
45,15,39,22,13333.608678,6489
41,10,42,31,18899.620214,10477
29,25,38,34,39376.780196,26403
38,19,33,29,25007.426904,22364
45,14,26,31,14350.141882,6489
33,29,34,47,51822.695704,54279
48,19,37,31,13549.388194,6489
31,17,39,44,36480.31502,46329
33,33,35,53,56292.467694,50317
35,19,42,36,32078.525853,30378
31,22,34,40,41104.350987,30378
29,25,33,49,52042.827004,42316
42,20,42,37,23317.355675,14452
34,23,35,53,48103.995728,50317
33,33,30,32,49012.867626,62306
35,27,38,43,42732.947973,42316
31,26,37,38,42070.659999,54279
36,21,43,38,32564.745108,30378
51,14,25,34,12796.787053,6489
35,28,40,41,41124.35851,42316
33,33,31,54,57297.876601,46329
29,25,42,40,40281.152065,34353
27,26,31,51,55326.102921,42316
35,17,40,38,32128.328041,46329
38,18,42,31,26461.052127,34353
23,28,33,45,54945.992249,58293
42,22,46,35,23649.401692,14452
42,16,38,28,17376.928799,6489
47,15,40,19,12419.781417,6489
40,24,39,37,29103.246364,26403
40,16,33,29,20121.925936,10477
39,16,42,41,28477.408145,34353
44,28,45,45,23591.593556,30378
31,27,44,41,37186.702655,34353
38,19,35,39,26635.587963,30378
19,33,25,33,57487.088598,58293
32,33,31,42,53811.617967,46329
32,26,29,37,46277.232128,54279
28,35,30,47,58038.304926,54279
39,10,41,35,18163.322933,18440
22,32,36,44,56088.437973,54279
31,26,29,49,55000.396619,50317
29,18,43,38,28750.606458,22364
47,16,33,33,8324.44493,10477
40,19,34,33,18495.631699,22364
36,27,38,41,38119.51325,42316
44,22,45,23,10591.399908,14452
32,27,35,48,51426.392739,50317
38,21,32,35,26381.703173,18440
34,21,35,40,35749.876773,38341
37,21,43,29,21344.116652,30378
33,26,37,47,47428.379837,42316
35,32,40,56,54377.856904,50317
46,15,38,32,8123.061136,6489
36,27,45,11,19545.336221,38341
48,18,42,26,6324.950013,10477
38,24,37,52,44068.0303,42316
51,19,39,20,4766.053403,6489
36,30,40,52,49937.028478,50317
47,13,45,32,7893.808393,14452
22,28,36,38,50129.144909,58293
30,27,37,49,52004.152806,42316
46,16,39,34,8838.504524,6489
32,23,31,45,48779.967284,50317
27,32,35,44,54947.431901,54279
38,26,37,35,28334.788321,14452
30,27,34,42,49174.815823,30378
43,22,46,39,17214.999715,30378
33,42,32,46,57091.297246,58293
44,17,31,29,9978.24466,10477
24,20,43,32,28803.672975,34353
47,12,35,35,7510.37604,14452
29,30,33,45,54512.74855,50317
33,22,33,42,42125.489795,30378
45,16,40,33,9717.527569,6489
34,21,40,34,27039.692679,26403
27,30,28,45,57078.168968,46329
47,18,39,29,7254.299024,6489
29,33,32,43,55525.430409,58293
30,27,41,44,44237.526059,42316
46,15,43,30,8347.279104,10477
30,35,31,44,56514.720799,54279
24,43,32,44,59126.347889,62306
44,15,24,18,7012.42106,6489
35,22,37,41,34767.665499,38341
23,31,25,50,59182.342698,58293
25,27,36,49,54865.622555,38341
29,22,32,35,40056.300491,22364
22,32,35,47,57375.791909,58293
42,26,41,25,13889.389811,14452
33,26,44,46,39382.70046,38341
30,31,33,41,52383.494377,50317
50,20,37,27,5894.972663,6489
27,22,37,37,38282.594012,26403
32,19,43,38,27846.272736,22364
43,16,26,30,12480.549743,6489
35,21,38,41,32835.838267,26403
22,26,35,45,53954.152794,58293
44,12,43,26,9835.674654,14452
18,24,35,48,55649.549673,54279
51,19,39,31,5865.213529,6489
20,40,32,49,59497.66816,62306
35,17,44,40,25454.907476,34353
31,18,43,41,29581.465693,34353
28,27,25,47,57138.839587,58293
31,18,38,59,50572.021792,46329
49,19,37,29,6429.849775,6489
26,26,37,47,52050.370881,38341
39,19,45,34,20196.529559,30378
40,21,46,37,20610.309472,18440
21,31,37,38,52281.165133,54279
40,24,40,29,18213.167627,26403
30,30,21,42,56306.554213,62306
42,24,42,24,13253.640557,14452
40,19,38,35,19188.065291,6489
35,27,34,43,45102.904122,30378
43,26,45,44,22940.09922,30378
30,26,30,38,48314.096221,54279
25,26,44,40,39525.998188,38341
39,21,43,37,22241.648022,14452
49,21,40,29,6549.759494,6489
20,25,36,44,52907.72477,54279
45,18,39,20,5446.28824,6489
33,24,40,37,29389.18186,26403
46,8,41,36,6721.524889,10477
32,33,25,44,50869.549068,58293
28,33,38,53,51339.634046,46329
27,29,39,47,46805.339248,50317
30,25,32,38,40804.949031,58293
39,13,48,34,18112.631301,22364
38,25,33,49,40269.88972,42316
36,12,45,35,19839.947733,22364
40,6,44,25,12840.802614,10477
28,21,36,42,37307.993654,38341
41,19,32,35,16763.851104,22364
42,21,30,35,17297.301969,10477
42,9,37,27,8436.103393,10477
43,13,45,36,13346.130451,14452
20,29,35,45,50640.820609,54279
30,28,42,42,37917.588102,42316
27,26,30,55,51876.053803,46329
40,26,46,36,21528.174106,14452
39,26,40,29,20261.70979,26403
31,22,44,37,26534.451943,38341
49,12,35,38,3922.266076,14452
31,35,30,47,51729.335514,54279
27,20,42,42,31369.292812,22364
30,10,35,44,27170.795818,58293
45,18,42,31,9271.660679,10477
46,20,37,30,7155.958346,6489
24,16,43,32,24548.429936,34353
34,21,39,47,33555.05616,42316
22,26,31,36,46442.711624,54279
20,34,24,39,53198.950189,58293
36,22,39,29,21562.539341,26403
27,23,41,37,31782.400071,26403
36,14,34,32,19302.492538,22364
36,26,33,42,38186.027812,38341
40,23,40,37,21347.493652,18440
29,35,31,48,52247.547186,58293
37,19,35,30,19744.638273,22364
29,34,37,39,46702.011468,54279
50,19,41,30,3518.001012,6489
17,25,38,45,47965.526303,54279
47,15,33,38,6767.24903,10477
42,22,38,32,15017.757686,14452
41,12,42,44,17419.501484,22364
29,37,31,35,49825.237462,62306
31,24,30,48,47043.648743,42316
36,28,33,30,29984.501491,30378
35,30,35,48,46007.373822,50317
29,35,31,45,51717.960433,54279
30,26,36,46,44140.399731,58293
40,26,40,37,23774.249395,26403
27,22,37,48,42685.997583,38341
48,26,37,24,5185.221271,14452
38,26,39,36,26226.747655,26403
38,15,43,42,20936.575316,22364
34,13,33,43,26988.749183,22364
30,24,29,30,35924.577139,34353
30,25,31,45,46228.765178,50317
28,24,43,40,32485.945463,38341
32,11,44,35,21424.559606,22364
32,20,44,37,24851.827458,22364
24,25,36,47,47180.445055,38341
32,25,36,47,42426.097201,38341
40,27,45,35,21828.012729,14452
24,35,24,46,53435.680112,58293
29,24,37,44,40509.341469,54279
30,28,38,51,47298.783698,42316
31,19,39,43,30919.342203,46329
28,10,34,38,25921.464704,58293
26,26,37,38,40300.37333,38341
28,24,38,40,37199.203887,54279
46,24,35,45,19630.234597,22364
28,29,21,39,50909.774764,62306
31,30,41,49,45200.340502,42316
39,21,34,34,20799.312672,30378
23,18,43,40,29743.33982,34353
33,25,38,36,31204.193536,26403
34,17,31,44,33394.89521,46329
36,29,38,53,45571.850663,42316
35,27,40,55,44437.230931,46329
36,27,30,43,42083.2295,46329
40,22,39,42,24110.216581,26403
34,26,42,32,26080.283897,34353
47,9,44,35,6431.212171,10477
47,12,34,36,5047.336564,14452
41,10,45,24,12333.487387,14452
39,11,45,36,17603.260185,14452
45,7,33,28,3855.533453,10477
29,26,25,45,50085.164888,58293
28,26,30,41,44788.384005,34353
32,21,40,35,25141.775502,26403
44,16,39,34,6077.694282,10477
39,12,43,33,13925.227904,14452
31,21,44,39,25657.48429,30378
19,31,37,41,48274.400037,54279
38,12,44,24,12476.036441,14452
32,9,35,50,26319.692126,50317
17,36,36,46,51537.38727,54279
34,21,42,30,21231.380599,22364
33,26,35,51,44214.51528,50317
32,24,32,41,38190.702961,34353
37,27,29,46,41689.184793,42316
23,33,26,37,50561.535049,58293
36,21,37,32,20814.012886,14452
46,18,43,32,3991.361679,10477
28,17,31,55,44133.42481,46329
29,34,38,41,45851.763223,46329
39,25,34,39,26250.010356,26403
39,10,46,28,12556.283511,18440
44,18,28,20,1724.294274,6489
35,25,32,48,41708.792971,42316
35,26,35,41,34969.074,38341
39,26,44,31,18260.145547,14452
33,32,32,50,49028.991167,50317
29,29,34,30,36432.343268,30378
33,20,32,35,27663.354223,22364
33,26,39,48,39112.021045,50317
39,22,33,38,22200.716723,18440
28,28,32,48,48293.503688,46329
37,19,43,30,17579.38914,22364
38,11,43,28,13403.631661,22364
29,21,42,42,29507.079942,30378
33,12,43,30,19560.202134,22364
34,29,34,44,42545.402354,50317
36,19,44,29,18459.032367,22364
24,25,43,39,34006.001976,34353
36,26,42,33,23483.099118,14452
36,19,45,46,24167.625597,30378
34,19,43,29,20176.537529,22364
39,23,32,44,29906.64292,34353
31,20,41,45,29900.62323,30378
22,25,25,48,50691.458865,58293
33,18,42,39,23658.688005,34353
34,28,41,48,38908.490063,46329
34,24,32,49,42311.452238,42316
31,23,29,45,43159.100368,54279
45,9,43,34,4020.228605,10477
31,21,35,39,31462.501545,38341
40,18,43,36,15434.991601,22364
41,19,41,34,12800.588228,18440
24,26,36,45,45110.540064,38341
38,16,32,30,13389.031699,34353
49,16,39,20,-395.036059,6489
33,21,42,42,27039.332109,30378
30,33,34,34,43018.744303,58293
37,13,44,29,15900.793307,22364
48,14,26,35,2445.601452,6489
35,25,30,39,35830.884724,34353
31,34,38,44,46332.532341,50317
23,33,31,42,50386.231759,54279
21,38,24,38,51988.63407,62306
30,28,38,43,40787.837077,54279
45,15,25,21,953.83877,6489
31,27,38,39,35866.308608,42316
27,32,30,51,51135.861719,46329
39,16,40,38,16739.388141,26403
39,18,23,21,7385.807589,6489
40,21,43,42,19930.351932,22364
43,20,45,35,10953.70661,14452
20,22,31,45,46814.21915,54279
22,34,36,36,47629.070036,58293
42,23,45,27,10075.664509,14452
36,22,44,26,18367.276931,14452
34,24,39,55,41210.035188,42316
37,18,39,33,18156.507302,10477
38,17,39,32,15789.275783,26403
32,25,41,35,27735.81454,26403
35,23,34,37,28706.093207,30378
32,31,38,51,46947.988817,50317
43,15,38,20,2571.154672,6489
34,27,36,48,41828.633093,38341
31,22,42,35,25497.975051,26403
22,29,30,44,49935.91886,54279
30,26,25,44,47691.655572,58293
45,18,38,20,1397.845716,6489
32,25,28,30,33426.963834,34353
28,40,31,46,51652.568195,62306
41,22,40,26,9799.260935,18440
35,26,43,27,21333.115219,34353
32,28,33,39,47031.850553,50317
40,20,32,32,21997.011419,22364
21,33,25,45,58143.724063,58293
37,23,33,44,40139.364762,50317
33,26,32,48,51410.697575,58293
33,26,38,35,35988.921159,26403
33,27,30,42,49549.783173,42316
47,19,40,24,11642.21026,10477
38,11,46,38,24070.08615,18440
39,20,45,37,25275.143546,30378
45,18,42,26,14309.584828,10477
35,20,42,35,27852.012798,22364
29,29,32,46,54505.890014,58293
41,12,42,39,21329.176702,22364
27,21,36,25,31621.451642,18440
28,16,32,46,46090.649878,46329
36,29,38,46,45331.318094,42316
31,35,37,44,53344.435391,54279
27,29,30,55,57522.426848,46329
41,22,41,37,24268.277854,18440
27,19,35,39,41190.305101,18440
35,26,36,40,39822.589053,38341
24,23,31,41,52157.181316,34353
47,21,36,25,11502.330892,14452
34,7,33,40,26789.833592,62306
32,33,38,44,50872.058801,50317
34,27,34,40,43864.763503,38341
42,25,38,27,19314.280684,14452
40,25,39,30,23631.645094,26403
40,24,36,36,27219.862264,26403
34,28,29,41,49200.596244,50317
42,18,30,32,17742.530413,18440
32,25,38,40,40285.596364,38341
32,19,46,42,30464.256236,30378
36,20,36,40,32577.372713,38341
32,26,39,55,51828.056472,46329
32,25,44,38,33452.128151,34353
35,25,41,48,41297.249224,42316
31,35,34,43,54286.94106,54279
31,31,35,52,55402.769252,50317
51,22,40,31,10742.290192,6489
32,24,37,37,37620.37624,26403
29,33,25,37,55252.429377,58293
39,23,30,37,31568.950768,18440
32,21,34,31,32486.4697,30378
23,22,38,40,45709.169928,38341
34,26,33,52,52325.523557,50317
30,34,39,48,54080.290403,46329
40,10,33,34,17852.198544,18440
43,14,38,35,16983.577484,6489
47,11,36,32,11063.334995,14452
41,20,42,33,21841.884178,14452
28,34,31,37,54176.688776,58293
21,43,31,42,58263.837279,62306
46,18,44,31,15171.782556,22364
33,32,39,49,51778.54425,50317
37,12,32,37,24510.051639,22364
35,26,38,41,38933.308437,38341
45,18,43,43,20128.898852,22364
35,23,41,47,38376.225573,42316
41,19,38,39,23798.281211,18440
29,27,32,55,56415.348253,42316
24,28,39,47,53394.172096,38341
40,20,43,32,22755.086944,14452
30,36,31,42,55734.544289,54279
19,32,26,32,56674.183197,58293
31,34,31,44,55255.469582,54279
32,30,28,33,47872.449027,62306
33,10,37,40,28150.101154,18440
43,14,25,30,14087.067469,6489
47,16,39,32,12497.288712,6489
35,20,35,46,39852.124355,30378
38,21,35,36,28166.065012,14452
42,9,32,32,14118.7972,18440
38,19,29,39,31619.116763,34353
29,25,30,50,55008.358423,42316
26,35,34,40,55298.348693,54279
27,33,31,37,54189.762721,62306
21,25,35,44,54005.629585,54279
50,16,27,21,9114.139877,6489
40,19,39,37,24039.85071,18440
33,17,38,37,30193.74092,26403
34,27,38,48,47082.201987,50317
27,21,47,35,30390.971174,18440
39,21,44,31,23789.615494,22364
39,18,29,31,21853.722532,34353
43,8,33,30,12591.932512,10477
23,21,44,40,38677.415801,38341
34,17,44,39,28071.612459,34353
39,23,39,26,22195.032435,26403
49,20,21,31,14796.43315,6489
38,24,44,39,25159.189755,34353
47,20,45,24,9777.200551,14452
43,26,45,36,17470.853731,14452
30,31,38,48,48377.986978,54279
28,27,37,44,46032.610353,54279
38,22,40,35,21401.903483,18440
31,35,36,38,50412.551478,54279
29,25,29,40,44596.792257,34353
42,18,40,35,15904.494986,10477
51,18,39,25,8838.858605,10477
33,24,41,31,23719.107363,26403
35,26,43,39,30776.433401,34353
25,20,36,41,44093.173452,38341
44,15,39,31,11351.493113,6489
20,41,22,46,66890.954104,62306
36,27,40,42,35558.882308,42316
31,39,32,16,35922.15813,62306
19,25,38,44,48957.1583,54279
45,19,44,39,15809.259943,22364
34,22,43,40,31339.81909,38341
41,26,44,28,16452.037175,30378
29,26,39,46,45556.759628,42316
35,16,30,40,34953.729443,34353
33,27,37,40,38540.431391,38341
30,29,42,50,47208.38709,42316
37,20,34,24,15248.407607,14452
46,14,39,25,8623.772726,10477
36,16,30,55,47082.076097,46329
47,26,43,38,16314.393802,14452
31,27,36,42,42861.081122,58293
28,34,33,38,53249.251058,58293
36,25,31,42,39034.887352,54279
34,26,44,39,31500.330567,38341
27,36,34,45,56085.619099,54279
34,28,32,48,46298.905372,50317
32,25,43,41,36462.085122,34353
40,21,33,34,20995.039127,18440
39,25,45,26,15979.249338,14452
40,21,46,36,17256.451388,18440
37,17,24,19,14478.220095,6489
35,26,39,50,44262.849316,42316
24,22,44,41,42811.608047,38341
40,21,39,37,21501.346353,26403
32,26,40,53,47231.523185,50317
32,25,41,48,44049.864778,42316
30,27,45,47,44111.603715,30378
38,26,41,38,26810.22036,34353
42,28,42,43,28583.460985,30378
38,20,44,37,20961.64024,30378
25,27,44,31,35344.555744,34353
27,37,32,45,58181.532245,62306
35,26,42,32,23726.491228,34353
22,25,38,43,47651.066161,54279
32,19,34,41,38518.825122,30378
30,31,37,49,48849.076107,50317
29,25,35,50,47883.987159,50317
33,35,35,44,50874.539109,54279
20,27,35,39,49087.252346,58293
38,27,35,47,41147.965329,30378
47,15,42,35,11330.48118,10477
33,34,39,47,48589.688876,46329
33,18,39,47,41604.924872,46329
29,27,45,31,29468.885078,30378
21,24,35,44,48532.643782,54279
39,20,33,36,24116.457605,18440
51,15,37,30,8825.140526,6489
21,35,33,46,56280.053773,58293
31,27,43,37,34358.824776,38341
37,23,35,46,39669.532421,38341
45,17,33,29,11662.858931,10477
31,25,31,52,48406.510635,50317
22,34,36,39,56049.044611,54279
37,14,43,28,12312.43922,22364
24,32,37,46,51473.89616,54279
43,15,26,31,15717.870081,6489
32,28,35,52,48112.33543,50317
41,22,41,37,19845.478208,18440
24,26,36,43,47560.425139,38341
41,21,45,36,16739.221612,18440
32,30,36,49,47659.672119,50317
29,25,31,55,49421.476512,46329
28,33,37,42,50525.290196,46329
37,22,46,34,18606.534574,18440
28,20,44,32,26753.803435,18440
29,27,34,46,47163.626097,38341
32,27,43,46,42472.110061,30378
29,33,34,54,51012.715659,50317
39,26,37,40,30304.825867,26403
32,23,33,30,24955.49352,30378
23,26,37,42,39782.692485,38341
30,29,31,39,41463.449737,46329
40,20,44,34,13814.5309,22364
36,26,30,31,27597.262819,34353
33,23,44,45,31550.625109,38341
50,14,39,34,7930.63386,6489
32,34,32,35,47266.622885,46329
46,27,38,37,17371.366294,14452
31,32,38,45,42107.976351,54279
31,35,31,37,51132.277314,62306
24,17,41,40,33514.132454,34353
47,15,26,30,9541.427091,6489
25,16,31,48,37553.805449,46329
41,28,42,44,26325.669142,30378
30,29,39,47,38955.141403,42316
32,32,38,44,41380.851482,50317
28,21,32,32,28774.436899,18440
34,18,30,55,37151.648477,46329
44,11,39,33,9466.053807,10477
29,28,39,50,39106.731532,42316
31,35,31,40,51657.729768,58293
39,17,30,39,21375.024466,34353
25,26,34,49,40085.337185,38341
35,30,31,43,39329.945823,50317
39,21,39,39,20578.770341,26403
46,12,37,31,8224.475057,14452
31,36,30,43,53785.535684,54279
24,26,43,45,38351.509278,34353
34,25,39,35,25438.548538,26403
35,27,41,42,30603.593333,42316
30,29,35,42,39725.219258,50317
31,33,39,44,43212.115539,50317
44,10,31,27,7938.84737,18440
45,17,38,21,8392.801518,6489
35,26,33,45,34463.006411,50317
44,12,42,34,9741.05754,14452
43,19,38,24,9940.006145,6489
43,18,42,23,8595.18827,10477
34,27,37,41,32551.341221,46329
49,18,38,31,8395.661762,6489
38,12,43,33,12587.943532,14452
32,35,37,46,46888.340367,54279
22,34,34,37,54815.226529,58293
39,20,43,32,13524.725965,22364
49,15,25,21,8844.572115,6489
27,35,30,48,52273.233816,46329
28,34,25,45,54027.509429,58293
32,16,44,39,24762.314891,34353
41,26,35,42,25741.222641,26403
46,18,33,30,9991.703291,10477
42,19,26,30,14492.47479,6489
33,15,34,42,28790.942454,62306
33,29,40,51,38025.03738,46329
34,25,32,38,30738.684262,34353
49,17,38,21,7794.335749,6489
37,20,44,43,24945.553475,22364
31,29,39,43,37430.445712,46329
32,23,43,40,28636.413676,34353
37,25,31,42,30697.795666,34353
38,23,43,42,24320.062024,34353
34,22,37,42,29614.524852,38341
41,24,46,37,16469.841821,18440
28,26,31,37,38021.050406,58293
32,24,39,32,24452.474905,26403
27,41,29,13,40567.972034,62306
34,26,38,43,32492.671639,46329
33,34,30,47,48112.227526,46329
31,27,31,49,39364.209073,42316
29,22,35,48,36896.565426,38341
35,26,39,49,34906.703671,46329
41,12,38,36,13472.777274,18440
31,25,38,37,30565.417245,26403
39,25,44,31,16244.91395,14452
43,26,45,32,14424.021017,14452
35,26,37,52,36587.952179,42316
32,22,38,52,36692.645312,42316
36,22,44,39,22742.937278,38341
35,26,39,36,26152.305947,38341
46,12,43,27,6822.307969,22364
34,26,40,49,35315.033277,42316
25,27,37,39,39349.711151,38341
42,9,43,34,10234.025001,10477
37,12,33,45,27363.061687,22364
22,25,35,39,39707.101853,38341
33,20,41,25,14876.878622,26403
33,24,31,41,32995.33639,34353
31,35,38,44,47336.643649,54279
37,21,42,44,26788.617376,30378
36,26,40,50,42362.645031,42316
31,23,39,48,43320.846214,42316
21,33,29,46,53902.162088,62306
38,20,40,34,21000.309754,18440
29,34,35,42,51515.012889,46329
38,21,38,27,18527.158989,26403
